Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2015","2015","t","1162814.72","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2016","2016","t","1787791.01","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2017","2017","t","1964731.55","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2018","2018","t","3576974.3","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2019","2019","t","56297.98","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2020","2020","t","448325.48","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2021","2021","t","585310.29","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2022","2022","t","1116622.54","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5910","Export quantity","0141","Soya beans","2023","2023","t","1536214.85","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1988","1988","1000 USD","92","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1991","1991","1000 USD","165","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1992","1992","1000 USD","24","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1993","1993","1000 USD","73","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1994","1994","1000 USD","162","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1995","1995","1000 USD","553","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1996","1996","1000 USD","779","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1997","1997","1000 USD","2156","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1998","1998","1000 USD","8480","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","1999","1999","1000 USD","7581","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2000","2000","1000 USD","952","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2001","2001","1000 USD","560","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2002","2002","1000 USD","946","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2003","2003","1000 USD","1276","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2004","2004","1000 USD","8179","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2005","2005","1000 USD","3610","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2006","2006","1000 USD","2496","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2007","2007","1000 USD","2788","A","Official figure"
"TM","Detailed trade matrix","124","Canada","156","China, mainland","5922","Export value","0141","Soya beans","2008","2008","1000 USD","73675","A","Official figure"
